List1,List2,List3,List4,List6,List7,List8
254:car,479:car,483:car,491:car,44:car,489:car,574:car
155:car,539:car,502:truck,513:car,89:car,522:car,1284:motorcycle
253:car,605:car,532:car,549:car,119:car,588:car,1943:car
269:car,599:car,577:car,542:car,1284:motorcycle,655:car,2560:car
380:car,641:car,654:car,584:car,1599:car,1284:motorcycle,
330:car,1965:car,2007:car,606:car,1729:car,2560:car,
388:car,1986:car,,639:car,1870:car,,
631:car,2003:car,,1946:car,1928:car,,
651:car,,,1956:car,1972:car,,
1009:car,,,1976:car,2038:car,,
1059:car,,,,2277:car,,
861:car,,,,2560:car,,
1819:car,,,,,,
1924:car,,,,,,
1989:car,,,,,,
2012:car,,,,,,
