List1,List2,List3,List4,List6,List7,List8
254:car,479:car,483:car,491:car,44:car,489:car,574:car
155:car,539:car,502:truck,513:car,89:car,522:car,
253:car,605:car,532:car,549:car,119:car,588:car,
269:car,599:car,577:car,542:car,,655:car,
380:car,641:car,654:car,584:car,,,
330:car,,,606:car,,,
388:car,,,639:car,,,
631:car,,,,,,
651:car,,,,,,
