List0,List1,List2,List3,List4,List5,List6,List7,List8,List9,List10,List11
,97:car,45:car,47:car,14:car,30:car,7:car,4:car,51:car,17:car,57:car,
,,21:car,33:truck,40:car,24:car,13:car,83:car,64:car,92:car,85:car,
,,53:car,43:car,66:car,334:car,340:car,106:car,89:car,118:car,151:car,
,,116:car,74:car,88:car,348:car,376:motorcycle,125:car,110:car,160:car,199:car,
,,122:car,104:car,100:car,343:car,378:car,146:car,126:car,184:car,260:car,
,,,180:car,120:car,365:car,397:car,176:car,141:car,194:truck,290:car,
,,,263:car,136:car,390:car,422:car,196:car,141:truck,212:car,,
,,,,233:car,416:car,460:car,221:car,157:car,232:car,,
,,,,,368:car,475:car,238:car,176:car,261:car,,
,,,,,473:car,486:car,250:car,203:car,305:car,,
,,,,,505:car,536:car,269:car,215:car,,,
,,,,,528:car,556:car,293:motorcycle,239:car,,,
,,,,,521:car,571:car,,257:car,,,
,,,,,586:car,595:car,,277:car,,,
,,,,,583:car,626:car,,,,,
,,,,,608:car,642:car,,,,,
