List0,List1,List2,List3,List4,List5,List6,List7,List8,List9,List10,List11
,,3594:car,3607:car,3689:truck,2993:car,4097:car,3417:car,3568:car,5170:car,,
,,3618:car,3621:car,3694:car,2994:car,4118:car,3441:car,3612:car,5236:car,,
,,3777:car,3647:truck,3677:car,3016:car,4147:car,3459:car,3625:car,5373:truck,,
,,5228:car,3659:car,3684:car,3025:car,4177:car,3496:car,3635:car,5421:truck,,
,,5265:car,3724:car,5361:car,3032:car,4203:car,3522:car,3653:car,5477:truck,,
,,5275:car,3813:car,5713:truck,3054:car,4217:car,3536:car,3674:car,5565:truck,,
,,5741:car,3853:car,5685:car,3166:car,4542:car,3561:car,3695:car,5586:truck,,
,,5511:car,3897:car,5347:car,3784:car,4568:car,3582:truck,3716:car,5615:truck,,
,,5742:large bus,4191:car,5355:car,3790:car,4581:car,3616:car,5342:car,5629:truck,,
,,5742:truck,4211:car,5362:car,3798:car,4605:car,3655:car,5345:car,5647:truck,,
,,5797:car,4243:car,5666:car,3801:car,4637:car,3703:car,5813:car,5714:car,,
,,5830:car,4271:car,5784:car,3804:car,4654:car,3727:car,5852:car,5820:car,,
,,5810:car,4303:car,5865:car,3889:car,4671:car,5341:car,5887:car,5854:car,,
,,5970:car,4319:car,5939:car,3961:car,4687:car,5698:motorcycle,5931:car,5956:car,,
,,6019:car,4349:car,5995:car,3968:car,4696:car,5696:car,5981:car,5987:car,,
,,6144:car,4390:car,6001:car,3957:car,4709:car,5759:car,6015:car,6011:car,,
,,6228:car,5356:car,6012:car,4027:car,5340:car,5808:car,6039:car,6034:car,,
,,6283:car,5677:car,6094:car,4053:car,6207:car,5864:car,6065:car,6082:car,,
,,6272:car,5350:car,6237:car,4063:car,6227:car,5898:car,6119:car,6156:car,,
,,6304:car,5364:car,6230:car,4090:car,6877:car,5958:car,6148:car,6182:car,,
,,6363:car,5349:car,6271:car,4113:car,6925:truck,6004:car,6171:car,6256:car,,
,,6386:car,5717:car,6294:car,4101:car,6972:car,6041:car,6213:car,6307:car,,
,,6487:car,5365:car,6342:car,4156:car,7016:car,6105:car,6232:car,6347:car,,
,,6448:car,5974:car,6379:car,4547:car,7074:car,6131:car,6268:car,6416:truck,,
,,6530:car,5959:car,6412:car,4548:car,7096:car,6146:motorcycle,6318:car,6449:car,,
,,6533:car,5971:car,6446:car,4572:car,7114:car,6150:truck,6339:car,6484:car,,
,,6667:car,5992:car,6494:car,4580:car,7147:car,6178:car,6380:car,6510:car,,
,,6703:car,6093:truck,6535:car,4595:car,7168:car,6201:car,6403:car,6566:car,,
,,6851:car,6084:car,6569:car,4657:car,6970:car,6262:car,6434:car,6619:car,,
,,6873:car,6111:car,6618:car,5343:car,7291:car,6296:motorcycle,6463:car,6671:car,,
,,7021:car,6128:car,6657:car,6217:car,7792:car,6305:car,6490:car,6727:car,,
,,7029:car,6224:car,6725:car,6203:car,8038:car,6368:car,6519:car,6767:car,,
,,7053:car,6223:car,6732:car,6225:car,8073:motorcycle,6385:car,6556:car,7098:car,,
,,7646:car,6241:car,6749:car,6853:car,8090:car,6417:car,6596:car,7127:car,,
,,7835:car,6298:car,6769:car,6866:car,8097:car,6438:car,6634:car,7849:car,,
,,7907:truck,6329:car,6987:car,6977:car,8106:car,6477:motorcycle,6646:car,7888:car,,
,,7911:car,6369:car,7249:car,6979:car,8147:car,6473:car,6672:car,7938:car,,
,,7999:car,6391:car,7788:car,6996:car,8161:car,6512:truck,6692:car,7968:car,,
,,,6443:car,7794:car,7006:car,8177:motorcycle,6545:car,6718:truck,7987:car,,
,,,6453:car,7812:car,7030:truck,8182:car,6587:car,6748:car,,,
,,,6483:truck,7808:car,7039:car,8200:car,6609:car,6783:car,,,
,,,6485:car,7809:car,7097:car,8217:car,6644:car,6971:car,,,
,,,6508:car,7838:car,7116:car,8244:car,6678:car,7816:car,,,
,,,6575:car,7859:car,7149:car,8262:car,6708:car,7887:car,,,
,,,6717:car,7914:car,7200:car,8278:car,6741:car,7903:car,,,
,,,6781:car,7945:car,7211:car,,6747:truck,7923:car,,,
,,,6828:car,,7493:car,,6773:car,7960:car,,,
,,,6833:car,,7798:car,,6978:car,7998:car,,,
,,,6839:car,,8045:truck,,7834:car,,,,
,,,6929:car,,8028:car,,7868:motorcycle,,,,
,,,6941:car,,7820:car,,7898:car,,,,
,,,7002:car,,7823:car,,7936:motorcycle,,,,
,,,7020:car,,8059:car,,7974:car,,,,
,,,7080:car,,8084:car,,,,,,
,,,7100:car,,8145:car,,,,,,
,,,7134:car,,8152:car,,,,,,
,,,7169:car,,8140:car,,,,,,
,,,7224:car,,8153:car,,,,,,
,,,7358:car,,8207:car,,,,,,
,,,7458:car,,8167:car,,,,,,
,,,7547:car,,8220:car,,,,,,
,,,7742:car,,8243:car,,,,,,
,,,7777:car,,8229:car,,,,,,
,,,7793:car,,,,,,,,
,,,7806:car,,,,,,,,
,,,7830:car,,,,,,,,
,,,7857:car,,,,,,,,
,,,7867:car,,,,,,,,
,,,7916:car,,,,,,,,
,,,7947:car,,,,,,,,
,,,7975:car,,,,,,,,
